title,category,county,address,address2,zip,address_full
Phillips 66,Gas Station,St Clair,2201 Camp Jackson Rd,"East St Louis, IL 62206",62206,"2201 Camp Jackson Rd, East St Louis, IL 62206"
Phillips 66,Gas Station,St Clair,4217 Old Missouri Ave,"East St Louis, IL 62207",62207,"4217 Old Missouri Ave, East St Louis, IL 62207"
Phillips Pipe Line,Gas Station,St Clair,3300 Mississippi Ave,"East St Louis, IL 62206",62206,"3300 Mississippi Ave, East St Louis, IL 62206"
Pilot,Gas Station,St Clair,699 State Route 203,"East St Louis, IL 62201",62201,"699 State Route 203, East St Louis, IL 62201"
Quick Stop,Gas Station,St Clair,2501 Louisiana Blvd,"East St Louis, IL 62205",62205,"2501 Louisiana Blvd, East St Louis, IL 62205"
Quick Stop Food Shop,Gas Station,St Clair,995 Range Ln,"East St Louis, IL 62206",62206,"995 Range Ln, East St Louis, IL 62206"
ZX,Gas Station,St Clair,2447 Bond Ave,"East St Louis, IL 62207",62207,"2447 Bond Ave, East St Louis, IL 62207"
ALDI,"Grocery, Chain",St Clair,1233 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1233 Camp Jackson Rd, East St Louis, IL 62206"
Family Dollar,"Grocery, Chain",St Clair,1022 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1022 Camp Jackson Rd, East St Louis, IL 62206"
Family Dollar,"Grocery, Chain",St Clair,2318 State St,"East St Louis, IL 62205",62205,"2318 State St, East St Louis, IL 62205"
Family Dollar,"Grocery, Chain",St Clair,610 N 89th St,"East St Louis, IL 62203",62203,"610 N 89th St, East St Louis, IL 62203"
Save-A-Lot,"Grocery, Chain",St Clair,10 Vieux Carre Dr,"East St Louis, IL 62203",62203,"10 Vieux Carre Dr, East St Louis, IL 62203"
Save-A-Lot,"Grocery, Chain",St Clair,2600 State St,"East St Louis, IL 62205",62205,"2600 State St, East St Louis, IL 62205"
Schnucks,"Grocery, Chain",St Clair,1615 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1615 Camp Jackson Rd, East St Louis, IL 62206"
Schnucks,"Grocery, Chain",St Clair,2511 State St,"East St Louis, IL 62205",62205,"2511 State St, East St Louis, IL 62205"
Shop 'n Save,"Grocery, Chain",St Clair,1028 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1028 Camp Jackson Rd, East St Louis, IL 62206"
Walmart,"Grocery, Chain",St Clair,1511 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1511 Camp Jackson Rd, East St Louis, IL 62206"
A&S Market,"Grocery, Local",St Clair,1000 State St,"East St Louis, IL 62201",62201,"1000 State St, East St Louis, IL 62201"
AA Cornell Supermarket,"Grocery, Local",St Clair,2439 Bond Ave,"East St Louis, IL 62207",62207,"2439 Bond Ave, East St Louis, IL 62207"
Absopure Water,"Grocery, Local",St Clair,2860 N 45th St,"East St Louis, IL 62201",62201,"2860 N 45th St, East St Louis, IL 62201"
BCL Restaurant Supply,"Grocery, Local",St Clair,1401 Mississippi Ave,"East St Louis, IL 62201",62201,"1401 Mississippi Ave, East St Louis, IL 62201"
Best Stop,"Grocery, Local",St Clair,2001 Camp Jackson Rd,"East St Louis, IL 62206",62206,"2001 Camp Jackson Rd, East St Louis, IL 62206"
Bond Express Market,"Grocery, Local",St Clair,2901 Bond Ave,"East St Louis, IL 62207",62207,"2901 Bond Ave, East St Louis, IL 62207"
